Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Age Group Churn Rate,Charge Amount Churn Rate,Tariff Plan Churn Rate,Call Efficiency
2.1972245773362196,0,2.302585092994046,0,53.86259182098458,8.426149773176359,1.791759469228055,6.026013699374132,3,1,1,5.477225575051661,10.681156914074341,0,0.028052210177097435,0.24,0.0,4.135950249574892
0.0,0,2.1972245773362196,0,19.32140257935547,2.23606797749979,2.0794415416798357,2.380733862757672,2,1,2,5.0,6.337627215553392,0,0.022872067238488118,0.24,0.0,4.168214410788556
2.3978952727983707,0,2.3978952727983707,0,43.246193660203666,7.745966692414834,5.886104031450156,7.360028734992322,3,1,1,5.477225575051661,20.110517455039183,0,0.028052210177097435,0.24,0.0,3.7348800166746208
2.3978952727983707,0,2.302585092994046,0,53.05090129266057,8.12403840463596,0.6931471805599453,9.096189298713714,1,1,1,3.872983346207417,11.387265358697642,0,0.05304801197714161,0.24,0.0,4.168307285732511
1.3862943611198906,0,2.302585092994046,0,42.83838248372917,7.615773105863909,1.0986122886681098,8.80449989580457,1,1,1,3.872983346207417,9.640768924678259,0,0.05304801197714161,0.24,0.0,3.7438173488696025
2.4849066497880004,0,2.302585092994046,1,50.95967593881795,9.055385138137417,3.4965075614664802,8.031869353475738,3,1,1,5.477225575051661,12.002841675210762,0,0.028052210177097435,0.08,0.0,3.850934526046423
1.6094379124341003,0,2.302585092994046,0,42.61129063369558,6.244997998398398,5.655991810819852,6.231997487024518,3,1,1,5.477225575051661,18.87427890802483,0,0.028052210177097435,0.24,0.0,4.119248534588242
2.6390573296152584,0,2.3978952727983707,2,70.99597477107982,11.0,4.976733742420574,10.182948910477172,3,1,1,5.477225575051661,17.438878276250453,0,0.028052210177097435,0.06,0.0,4.33507914673334
2.0794415416798357,0,2.302585092994046,0,82.79823050586504,13.0,0.0,10.310996600323065,3,1,1,5.477225575051661,14.868661658168842,0,0.028052210177097435,0.24,0.0,4.412761929043099
2.0794415416798357,0,2.302585092994046,1,54.53111517394082,9.1104335791443,1.0986122886681098,7.533145835849411,3,1,1,5.477225575051661,10.577296561815151,0,0.028052210177097435,0.08,0.0,4.014543492018546
1.9459101490553132,0,2.302585092994046,0,60.38583039437709,9.746794344808963,2.0794415416798357,4.888497112437017,3,1,1,5.477225575051661,11.81056026076988,0,0.028052210177097435,0.24,0.0,4.147806337088792
